,weight
usdcnh,0.07035187244295625
usdtry,0.054706643034870016
gbpcad,0.04242921984685069
gbpaud,0.03915489221657616
chfaed,0.031809437470953474
tjxususd,0.027651924085412918
manhususd,0.02654377472720594
acfreur,0.02416087541115676
knxususd,0.018983581818402023
lgengbgbx,0.018697996890785377
tdyususd,0.018462574517335188
dhrususd,0.017189256917718946
krususd,0.016446378449817365
elususd,0.016160351366404625
nhynonok,0.01609111252845803
zbhususd,0.015580930573862757
azngbgbx,0.015053393752766838
usdsek,0.014875995918395007
ukgilttrgbp,0.014867058459202515
usdron,0.014543448652302008
bundtreur,0.014502264499375802
usdpln,0.01383248001252766
allyususd,0.013769895348651053
0388hkhkd,0.013749813121013414
hwmususd,0.012200628922719533
rtxususd,0.011731344661766478
bagbgbx,0.011593639423581574
swedasesek,0.011253539043304277
amznususd,0.011242829758927288
fdsususd,0.011240731709047684
kerfreur,0.010885865063229914
adiususd,0.010688998525452083
alkususd,0.010648798754045096
alleususd,0.010519267033148148
lplaususd,0.00915985904758182
exrususd,0.009045313161677443
cbususd,0.008984234260275925
usdhuf,0.008326277433543935
wklnleur,0.008251776551150648
amatususd,0.007730057342572535
iaggbgbx,0.007680827671973355
kbcbeeur,0.007655329398913056
etnususd,0.007461027108288971
cahususd,0.007348438929795269
ote1vfieur,0.007341338177693285
pclnususd,0.00687791238735546
tprususd,0.006847851635905174
tususd,0.006666848123998824
agncususd,0.006365815618658756
iceususd,0.005675051555613797
metususd,0.005641708514218685
axtaususd,0.005550882256263649
aosususd,0.004899930195801717
tlsnsesek,0.0048943499084588985
abtususd,0.004720869016783192
arususd,0.004656828911713409
vow3deeur,0.004374555551622379
algnususd,0.004355616044104881
lowususd,0.004213704294568195
sjmususd,0.0041286756457128765
usddkk,0.0038592398250723845
usdzar,0.0037553772834406866
twgbgbx,0.0036451870792277912
gbridxgbp,0.003628743514665011
adskususd,0.003614140825475657
trvususd,0.003520399213128127
jciususd,0.00351472684046286
ebayususd,0.0034840555146384224
ulvrgbgbx,0.003438314076831818
umibeeur,0.0033306370470347598
tscogbgbx,0.0033255185014345766
maerskbdkdkk,0.0032467664722754222
lenususd,0.0032263976481992393
pbrususd,0.0032076630931484754
agsbeeur,0.0031873038933913655
cvxususd,0.0030838307061746392
dhiususd,0.00301369904243895
isrgususd,0.002975199442986875
mmmususd,0.0028289355462190868
halususd,0.002666632219845469
maususd,0.0025865600904094264
phianleur,0.0025737156280335963
biibususd,0.0025033777273366143
masiususd,0.0024414138825718155
hcnususd,0.002431911929040599
rostususd,0.002356577463627014
asmlnleur,0.0023524818158793784
mdlzususd,0.002288878910412855
mktxususd,0.0022523699005550023
kmiususd,0.0022485604301713214
mhkususd,0.0022387545241300583
pncususd,0.0022351558445179594
ebsateur,0.0021887226861578533
ucbbeeur,0.0021115889588784417
matusd,0.0019383131472182095
mususd,0.0018479905774934754
gpnususd,0.0018114609372991274
kmbususd,0.0018003966789225238
tategbgbx,0.001764216284019829
stjgbgbx,0.0017450903142895143
nzdchf,0.0016936250633128906
wppgbgbx,0.0016592727691976642
feususd,0.0016592193117287073
caciususd,0.0015944992436110943
inganleur,0.0015406141715266141
adbeususd,0.0015053374821190194
amdususd,0.001499112553842444
kpnnleur,0.0014067936666604074
avbususd,0.0013411528977588434
alxnususd,0.0012556491974676572
nes1vfieur,0.0012253524905655074
koususd,0.0012077229873223158
keysususd,0.0011886231092681577
acafreur,0.0011668910768623908
mksgbgbx,0.0011656248813056694
rbsgbgbx,0.0011432215511238146
hpeususd,0.0011337841443772518
sgegbgbx,0.0011282637957287388
eqhususd,0.001098991821857217
1177hkhkd,0.0010918366111118947
mchpususd,0.0010539402854889983
hpqususd,0.0010436040876598237
abcususd,0.0010429772489438664
ewususd,0.0009373459984935953
sngbgbx,0.0009203549414678223
stervfieur,0.0008646935053512918
itwususd,0.000841986962461506
bpgbgbx,0.0008036825104980411
barcgbgbx,0.0006999082321205363
jpmususd,0.0006659871304515014
copususd,0.0006445684541335462
hogususd,0.0006080144970954346
teamususd,0.0005167380840940919
ilmnususd,0.00046536429410761734
schwususd,0.00040939180137037755
lvsususd,0.0003601918708390345
mkrusd,0.0002912539565721762
idxxususd,0.0002319315135566712
rrcususd,7.405815452462771e-05
yfiusd,7.221842449586827e-05
ipgpususd,0.0
intcususd,0.0
glefreur,0.0
heianleur,0.0
eaususd,0.0
dsmnleur,0.0
ctshususd,0.0
dfsususd,0.0
chfils,0.0
chiidxusd,0.0
cpigbgbx,0.0
efxususd,0.0
eosusd,0.0
engifreur,0.0
eixususd,0.0
elsususd,0.0
eurdkk,0.0
eqtususd,0.0
expeususd,0.0
fdxususd,0.0
cciususd,0.0
cptususd,0.0
albususd,0.0
aigususd,0.0
aepususd,0.0
adpususd,0.0
agnnleur,0.0
0700hkhkd,0.0
aaususd,0.0
aalususd,0.0
0857hkhkd,0.0
0883hkhkd,0.0
abevususd,0.0
abibeeur,0.0
acnususd,0.0
acxeseur,0.0
avtrususd,0.0
avgbgbx,0.0
apdususd,0.0
armkususd,0.0
amhususd,0.0
ampususd,0.0
amtususd,0.0
amwlususd,0.0
amgnususd,0.0
batsgbgbx,0.0
axpususd,0.0
bacususd,0.0
bbyususd,0.0
belgbeeur,0.0
bdevgbgbx,0.0
brkbususd,0.0
alksususd,0.0
allususd,0.0
ibmususd,0.0
humususd,0.0
honususd,0.0
hkgidxhkd,0.0
hesususd,0.0
fndususd,0.0
ftvususd,0.0
fitbususd,0.0
fltususd,0.0
geususd,0.0
gnrcususd,0.0
glwususd,0.0
mgmususd,0.0
middususd,0.0
kmxususd,0.0
lngususd,0.0
kssususd,0.0
kususd,0.0
irususd,0.0
kgfgbgbx,0.0
itubususd,0.0
jwnususd,0.0
luvususd,0.0
mckususd,0.0
matususd,0.0
mcdususd,0.0
mdtususd,0.0
lususd,0.0
lwususd,0.0
marususd,0.0
pmususd,0.0
plnidxpln,0.0
out1vfieur,0.0
nzdcad,0.0
nre1vfieur,0.0
mksiususd,0.0
mklususd,0.0
sttususd,0.0
sgdjpy,0.0
sbuxususd,0.0
rbiateur,0.0
rgaususd,0.0
sgdidxsgd,0.0
stangbgbx,0.0
smingbgbx,0.0
solbbeeur,0.0
tlwgbgbx,0.0
tpkgbgbx,0.0
tevaususd,0.0
svtgbgbx,0.0
usdils,0.0
usdnok,0.0
usdczk,0.0
usa30idxusd,0.0
vodgbgbx,0.0
vnadeeur,0.0
vkfreur,0.0
ustbondtrusd,0.0
weirgbgbx,0.0
whrususd,0.0
xomususd,0.0
wtbgbgbx,0.0
